index,id,lat,lon
62,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwMjo6Mg,52.546419,13.359163
63,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwMjo6Mw,52.546448,13.359059
64,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwMjo6NA,52.546349,13.359230
65,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwMzo6MQ,52.549731,13.353007
66,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwMzo6Mg,52.549813,13.353142
67,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwNDoxOjUw,52.543042,13.367693
68,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwNDoxOjUx,52.543102,13.367604
69,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwNDo6MQ,52.543028,13.364987
70,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTEwNDo6Mg,52.543092,13.365090
71,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMTo6MQ,52.551666,13.367384
72,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMTo6Mg,52.551585,13.367543
73,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMjo6MQ,52.557098,13.373196
74,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMjo6Mg,52.557175,13.373355
75,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMjo6Mw,52.557207,13.373128
76,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMjo6NA,52.557148,13.373341
77,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMzo6MQ,52.552240,13.381422
78,U3RvcDoxOmRlOjExMDAwOjkwMDAwOTIwMzo6Mg,52.552294,13.381482
79,U3RvcDoxOmRlOjExMDAwOjkwMDAxMTEwMTo6MQ,52.556593,13.340990
80,U3RvcDoxOmRlOjExMDAwOjkwMDAxMTEwMTo6Mg,52.556638,13.341060
81,U3RvcDoxOmRlOjExMDAwOjkwMDAxMTEwMjo6MQ,52.560199,13.334557
82,U3RvcDoxOmRlOjExMDAwOjkwMDAxMTEwMjo6Mg,52.560271,13.334667
83,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMToxOjUw,52.503590,13.381283
84,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMToxOjUx,52.503564,13.381396
85,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMToyOjUy,52.503542,13.381498
86,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMToyOjUz,52.503514,13.381617
87,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMjo6MQ,52.506032,13.390528
88,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMjo6Mg,52.506044,13.390689
89,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMzo6MQ,52.497812,13.390351
90,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMzo6Mg,52.497767,13.390336
91,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMzo6Mw,52.498999,13.391628
92,U3RvcDoxOmRlOjExMDAwOjkwMDAxMjEwMzo6NA,52.499006,13.391805
93,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMTo6MQ,52.503676,13.410615
94,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMTo6Mg,52.503618,13.410788
95,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMjo6MQ,52.499051,13.418395
96,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMjo6Mg,52.498933,13.418417
97,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMjo6Mw,52.498849,13.417900
98,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMjo6NA,52.498959,13.418101
99,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMzo6MQ,52.498406,13.405401
100,U3RvcDoxOmRlOjExMDAwOjkwMDAxMzEwMzo6Mg,52.498379,13.405403
101,U3RvcDoxOmRlOjExMDAwOjkwMDAxNDEwMTo6MQ,52.499292,13.428277
102,U3RvcDoxOmRlOjExMDAwOjkwMDAxNDEwMTo6Mg,52.499270,13.428283
103,U3RvcDoxOmRlOjExMDAwOjkwMDAxNDEwMjo6MQ,52.500747,13.441051
104,U3RvcDoxOmRlOjExMDAwOjkwMDAxNDEwMjo6Mg,52.500720,13.441059
